time,formattedTime,formattedAxisTime,value,hasData,formattedValue,isPartial
1724025600,"Aug 19, 2024",Aug 19,[82],[True],['82'],
1724112000,"Aug 20, 2024",Aug 20,[63],[True],['63'],
1724198400,"Aug 21, 2024",Aug 21,[0],[False],['0'],
1724284800,"Aug 22, 2024",Aug 22,[73],[True],['73'],
1724371200,"Aug 23, 2024",Aug 23,[58],[True],['58'],
1724457600,"Aug 24, 2024",Aug 24,[78],[True],['78'],
1724544000,"Aug 25, 2024",Aug 25,[74],[True],['74'],
1724630400,"Aug 26, 2024",Aug 26,[60],[True],['60'],
1724716800,"Aug 27, 2024",Aug 27,[69],[True],['69'],
1724803200,"Aug 28, 2024",Aug 28,[87],[True],['87'],
1724889600,"Aug 29, 2024",Aug 29,[45],[True],['45'],
1724976000,"Aug 30, 2024",Aug 30,[88],[True],['88'],
1725062400,"Aug 31, 2024",Aug 31,[0],[False],['0'],
1725148800,"Sep 1, 2024",Sep 1,[86],[True],['86'],
1725235200,"Sep 2, 2024",Sep 2,[50],[True],['50'],
1725321600,"Sep 3, 2024",Sep 3,[61],[True],['61'],
1725408000,"Sep 4, 2024",Sep 4,[51],[True],['51'],
1725494400,"Sep 5, 2024",Sep 5,[46],[True],['46'],
1725580800,"Sep 6, 2024",Sep 6,[51],[True],['51'],
1725667200,"Sep 7, 2024",Sep 7,[69],[True],['69'],
1725753600,"Sep 8, 2024",Sep 8,[0],[False],['0'],
1725840000,"Sep 9, 2024",Sep 9,[0],[False],['0'],
1725926400,"Sep 10, 2024",Sep 10,[51],[True],['51'],
1726012800,"Sep 11, 2024",Sep 11,[0],[False],['0'],
1726099200,"Sep 12, 2024",Sep 12,[0],[False],['0'],
1726185600,"Sep 13, 2024",Sep 13,[0],[False],['0'],
1726272000,"Sep 14, 2024",Sep 14,[51],[True],['51'],
1726358400,"Sep 15, 2024",Sep 15,[54],[True],['54'],
1726444800,"Sep 16, 2024",Sep 16,[76],[True],['76'],
1726531200,"Sep 17, 2024",Sep 17,[61],[True],['61'],
1726617600,"Sep 18, 2024",Sep 18,[42],[True],['42'],
1726704000,"Sep 19, 2024",Sep 19,[0],[False],['0'],
1726790400,"Sep 20, 2024",Sep 20,[53],[True],['53'],
1726876800,"Sep 21, 2024",Sep 21,[76],[True],['76'],
1726963200,"Sep 22, 2024",Sep 22,[51],[True],['51'],
1727049600,"Sep 23, 2024",Sep 23,[0],[False],['0'],
1727136000,"Sep 24, 2024",Sep 24,[50],[True],['50'],
1727222400,"Sep 25, 2024",Sep 25,[73],[True],['73'],
1727308800,"Sep 26, 2024",Sep 26,[85],[True],['85'],
1727395200,"Sep 27, 2024",Sep 27,[60],[True],['60'],
1727481600,"Sep 28, 2024",Sep 28,[53],[True],['53'],
1727568000,"Sep 29, 2024",Sep 29,[61],[True],['61'],
1727654400,"Sep 30, 2024",Sep 30,[58],[True],['58'],
1727740800,"Oct 1, 2024",Oct 1,[44],[True],['44'],
1727827200,"Oct 2, 2024",Oct 2,[58],[True],['58'],
1727913600,"Oct 3, 2024",Oct 3,[54],[True],['54'],
1728000000,"Oct 4, 2024",Oct 4,[72],[True],['72'],
1728086400,"Oct 5, 2024",Oct 5,[0],[False],['0'],
1728172800,"Oct 6, 2024",Oct 6,[87],[True],['87'],
1728259200,"Oct 7, 2024",Oct 7,[54],[True],['54'],
1728345600,"Oct 8, 2024",Oct 8,[65],[True],['65'],
1728432000,"Oct 9, 2024",Oct 9,[49],[True],['49'],
1728518400,"Oct 10, 2024",Oct 10,[67],[True],['67'],
1728604800,"Oct 11, 2024",Oct 11,[77],[True],['77'],
1728691200,"Oct 12, 2024",Oct 12,[0],[False],['0'],
1728777600,"Oct 13, 2024",Oct 13,[86],[True],['86'],
1728864000,"Oct 14, 2024",Oct 14,[48],[True],['48'],
1728950400,"Oct 15, 2024",Oct 15,[51],[True],['51'],
1729036800,"Oct 16, 2024",Oct 16,[62],[True],['62'],
1729123200,"Oct 17, 2024",Oct 17,[44],[True],['44'],
1729209600,"Oct 18, 2024",Oct 18,[0],[False],['0'],
1729296000,"Oct 19, 2024",Oct 19,[0],[False],['0'],
1729382400,"Oct 20, 2024",Oct 20,[72],[True],['72'],
1729468800,"Oct 21, 2024",Oct 21,[54],[True],['54'],
1729555200,"Oct 22, 2024",Oct 22,[59],[True],['59'],
1729641600,"Oct 23, 2024",Oct 23,[0],[False],['0'],
1729728000,"Oct 24, 2024",Oct 24,[77],[True],['77'],
1729814400,"Oct 25, 2024",Oct 25,[0],[False],['0'],
1729900800,"Oct 26, 2024",Oct 26,[68],[True],['68'],
1729987200,"Oct 27, 2024",Oct 27,[100],[True],['100'],
1730073600,"Oct 28, 2024",Oct 28,[55],[True],['55'],
1730160000,"Oct 29, 2024",Oct 29,[0],[False],['0'],
1730246400,"Oct 30, 2024",Oct 30,[57],[True],['57'],
1730332800,"Oct 31, 2024",Oct 31,[0],[False],['0'],
1730419200,"Nov 1, 2024",Nov 1,[0],[False],['0'],
1730505600,"Nov 2, 2024",Nov 2,[64],[True],['64'],
1730592000,"Nov 3, 2024",Nov 3,[0],[False],['0'],
1730678400,"Nov 4, 2024",Nov 4,[60],[True],['60'],
1730764800,"Nov 5, 2024",Nov 5,[48],[True],['48'],
1730851200,"Nov 6, 2024",Nov 6,[50],[True],['50'],
1730937600,"Nov 7, 2024",Nov 7,[39],[True],['39'],
1731024000,"Nov 8, 2024",Nov 8,[45],[True],['45'],
1731110400,"Nov 9, 2024",Nov 9,[46],[True],['46'],
1731196800,"Nov 10, 2024",Nov 10,[55],[True],['55'],
1731283200,"Nov 11, 2024",Nov 11,[44],[True],['44'],
1731369600,"Nov 12, 2024",Nov 12,[39],[True],['39'],
1731456000,"Nov 13, 2024",Nov 13,[41],[True],['41'],
1731542400,"Nov 14, 2024",Nov 14,[33],[True],['33'],
1731628800,"Nov 15, 2024",Nov 15,[46],[True],['46'],
1731715200,"Nov 16, 2024",Nov 16,[46],[True],['46'],
1731801600,"Nov 17, 2024",Nov 17,[47],[True],['47'],
1731888000,"Nov 18, 2024",Nov 18,[49],[True],['49'],
1731974400,"Nov 19, 2024",Nov 19,[43],[True],['43'],True
